trial_nr	onset	event_type	phase	response	nr_frames	prob1	prob2	n1	n2	choice	onset_abs	duration
1.0	0.016521065001143143	stim	0		58						3.4718703239996103	0.9690762829995947
1.0	0.9673908260010649	response	0	j							4.422740084999532	
1.0	0.9855973480007378	stim	0		289						4.440946606999205	5.0038047850030125
1.0	5.98940213300375	stim	0		15	0.55	1.0	33.0	20.0		9.444751392002217	0.24574152899731416
1.0	6.2351436620010645	stim	1		19	0.55	1.0	33.0	20.0		9.690492920999532	0.31616260400187457
1.0	6.551306266002939	stim	2		18	0.55	1.0	33.0	20.0		10.006655525001406	0.30037142599758226
1.0	6.851677692000521	stim	3		28	0.55	1.0	33.0	20.0		10.307026950998988	0.4968451540044043
1.0	7.348522846004926	stim	4		26	0.55	1.0	33.0	20.0		10.803872105003393	0.6028539929975523
1.0	7.951376839002478	stim	5		299	0.55	1.0	33.0	20.0		11.406726098000945	4.983432367000205
1.0	12.934809206002683	stim	6		19	0.55	1.0	33.0	20.0		16.39015846500115	0.31695260299602523
1.0	13.251761808998708	stim	7		17	0.55	1.0	33.0	20.0		16.707111067997175	0.28780340600496856
1.0	13.539565215003677	stim	8		31	0.55	1.0	33.0	20.0		16.994914474002144	0.6023343449996901
1.0	14.141899560003367	stim	9		40	0.55	1.0	33.0	20.0		17.597248819001834	0.6671506579950801
1.0	14.802707202004967	response	9	k		0.55	1.0	33.0	20.0		18.258056461003434	
1.0	14.809050217998447	choice	9		241					2.0	18.264399476996914	3.34216510400438
2.0	18.151215322002827	stim	0		15	0.55	1.0	56.0	28.0		21.606564581001294	0.2506349679970299
2.0	18.401850289999857	stim	1		18	0.55	1.0	56.0	28.0		21.857199548998324	0.2994588220026344
2.0	18.70130911200249	stim	2		18	0.55	1.0	56.0	28.0		22.156658371000958	0.30003451299853623
2.0	19.001343625001027	stim	3		30	0.55	1.0	56.0	28.0		22.456692883999494	0.5171601500042016
2.0	19.51850377500523	stim	4		19	0.55	1.0	56.0	28.0		22.973853034003696	0.599721126993245
2.0	20.118224901998474	stim	5		298	0.55	1.0	56.0	28.0		23.57357416099694	4.9663203490054
2.0	25.084545251003874	stim	6		19	0.55	1.0	56.0	28.0		28.53989451000234	0.31690385399997467
2.0	25.40144910500385	stim	7		18	0.55	1.0	56.0	28.0		28.856798364002316	0.3075625019992003
2.0	25.70901160700305	stim	8		26	0.55	1.0	56.0	28.0		29.164360866001516	0.5760872190003283
2.0	26.285098826003377	stim	9		44	0.55	1.0	56.0	28.0		29.740448085001844	0.741054466998321
2.0	27.021024718000263	response	9	j		0.55	1.0	56.0	28.0		30.47637397699873	
2.0	27.0261532930017	choice	9		240					1.0	30.481502552000165	3.2678839349973714
3.0	30.29403722799907	stim	0		15	0.55	1.0	16.0	14.0		33.74938648699754	0.24942190400179243
3.0	30.543459132000862	stim	1		18	0.55	1.0	16.0	14.0		33.99880839099933	0.30043488099909155
3.0	30.843894012999954	stim	2		18	0.55	1.0	16.0	14.0		34.29924327199842	0.2994328670029063
3.0	31.14332688000286	stim	3		30	0.55	1.0	16.0	14.0		34.59867613900133	0.4998304440014181
3.0	31.643157324004278	stim	4		36	0.55	1.0	16.0	14.0		35.098506583002745	0.6009324389960966
3.0	32.244089763000375	stim	5		300	0.55	1.0	16.0	14.0		35.69943902199884	4.999074307997944
3.0	37.24316407099832	stim	6		18	0.55	1.0	16.0	14.0		40.698513329996786	0.3005989880039124
3.0	37.54376305900223	stim	7		18	0.55	1.0	16.0	14.0		40.9991123180007	0.2993531320025795
3.0	37.84311619100481	stim	8		36	0.55	1.0	16.0	14.0		41.29846545000328	0.600525703994208
3.0	38.44364189499902	stim	9		41	0.55	1.0	16.0	14.0		41.898991153997486	0.6901203779998468
3.0	39.12919269200211	response	9	k		0.55	1.0	16.0	14.0		42.584541951000574	
3.0	39.133762272998865	choice	9		240					2.0	42.58911153199733	3.309642464002536
4.0	42.4434047370014	stim	0		15	0.55	1.0	33.0	28.0		45.89875399599987	0.2499442159969476
4.0	42.69334895299835	stim	1		18	0.55	1.0	33.0	28.0		46.148698211996816	0.3010567470046226
4.0	42.99440570000297	stim	2		18	0.55	1.0	33.0	28.0		46.44975495900144	0.2990049509971868
4.0	43.29341065100016	stim	3		30	0.55	1.0	33.0	28.0		46.748759909998626	0.5024686149990885
4.0	43.79587926599925	stim	4		36	0.55	1.0	33.0	28.0		47.251228524997714	0.5981271980053862
4.0	44.39400646400463	stim	5		300	0.55	1.0	33.0	28.0		47.8493557230031	4.999561502998404
4.0	49.39356796700304	stim	6		18	0.55	1.0	33.0	28.0		52.848917226001504	0.2997450530019705
4.0	49.69331302000501	stim	7		18	0.55	1.0	33.0	28.0		53.148662279003474	0.30044361199543346
4.0	49.99375663200044	stim	8		35	0.55	1.0	33.0	28.0		53.44910589099891	0.5879896990009001
4.0	50.57462796699838	response	8	k		0.55	1.0	33.0	28.0		54.029977225996845	
4.0	50.58174633100134	choice	8		36					2.0	54.03709558999981	0.011712544001056813
4.0	50.5934588750024	stim	9		240	0.55	1.0	33.0	28.0		54.048808134000865	4.000184167998668
5.0	54.593643043001066	stim	0		15	0.55	1.0	8.0	7.0		58.04899230199953	0.24962684100319166
5.0	54.84326988400426	stim	1		18	0.55	1.0	8.0	7.0		58.298619143002725	0.29976239599636756
5.0	55.143032280000625	stim	2		18	0.55	1.0	8.0	7.0		58.59838153899909	0.2998191160004353
5.0	55.44285139600106	stim	3		30	0.55	1.0	8.0	7.0		58.89820065499953	0.500469480000902
5.0	55.94332087600196	stim	4		36	0.55	1.0	8.0	7.0		59.39867013500043	0.6001976850020583
5.0	56.54351856100402	stim	5		300	0.55	1.0	8.0	7.0		59.99886782000249	4.999618914996972
5.0	61.54313747600099	stim	6		18	0.55	1.0	8.0	7.0		64.99848673499946	0.2999493289971724
5.0	61.843086804998165	stim	7		18	0.55	1.0	8.0	7.0		65.29843606399663	0.30009955600689864
5.0	62.143186361005064	stim	8		36	0.55	1.0	8.0	7.0		65.59853562000353	0.5998110229993472
5.0	62.74299738400441	stim	9		55	0.55	1.0	8.0	7.0		66.19834664300288	0.9240422609946108
5.0	63.66251195500081	response	9	k		0.55	1.0	8.0	7.0		67.11786121399928	
5.0	63.66703964499902	choice	9		240					2.0	67.12238890399749	3.076303216002998
6.0	66.74334286100202	stim	0		15	0.55	1.0	66.0	28.0		70.19869212000049	0.24981570299860323
6.0	66.99315856400062	stim	1		18	0.55	1.0	66.0	28.0		70.44850782299909	0.30006811500061303
6.0	67.29322667900124	stim	2		18	0.55	1.0	66.0	28.0		70.7485759379997	0.30010071900323965
6.0	67.59332739800448	stim	3		30	0.55	1.0	66.0	28.0		71.04867665700294	0.51473460199486
6.0	68.10806199999934	stim	4		17	0.55	1.0	66.0	28.0		71.5634112589978	0.5828698430050281
6.0	68.69093184300436	stim	5		301	0.55	1.0	66.0	28.0		72.14628110200283	5.00227739699767
6.0	73.69320924000203	stim	6		18	0.55	1.0	66.0	28.0		77.1485584990005	0.2996342559999903
6.0	73.99284349600202	stim	7		18	0.55	1.0	66.0	28.0		77.44819275500049	0.3001728879971779
6.0	74.2930163839992	stim	8		36	0.55	1.0	66.0	28.0		77.74836564299767	0.600116211004206
6.0	74.89313259500341	stim	9		38	0.55	1.0	66.0	28.0		78.34848185400188	0.6391303039999912
6.0	75.52795716500259	response	9	j		0.55	1.0	66.0	28.0		78.98330642400106	
6.0	75.5322628990034	choice	9		240					1.0	78.98761215800187	3.360717562994978
7.0	78.89298046199838	stim	0		15	0.55	1.0	11.0	7.0		82.34832972099684	0.2497114230063744
7.0	79.14269188500475	stim	1		18	0.55	1.0	11.0	7.0		82.59804114400322	0.30024669299746165
7.0	79.44293857800221	stim	2		18	0.55	1.0	11.0	7.0		82.89828783700068	0.3002710560031119
7.0	79.74320963400532	stim	3		30	0.55	1.0	11.0	7.0		83.19855889300379	0.499862550997932
7.0	80.24307218500326	stim	4		36	0.55	1.0	11.0	7.0		83.69842144400172	0.5997535689966753
7.0	80.84282575399993	stim	5		300	0.55	1.0	11.0	7.0		84.2981750129984	4.999833451998711
7.0	85.84265920599864	stim	6		18	0.55	1.0	11.0	7.0		89.29800846499711	0.3007453880054527
7.0	86.1434045940041	stim	7		18	0.55	1.0	11.0	7.0		89.59875385300256	0.29971666599885793
7.0	86.44312126000295	stim	8		36	0.55	1.0	11.0	7.0		89.89847051900142	0.599658492996241
7.0	87.0427797529992	stim	9		12	0.55	1.0	11.0	7.0		90.49812901199766	0.20715064600517508
7.0	87.24555942499865	response	9	j		0.55	1.0	11.0	7.0		90.70090868399711	
7.0	87.24993039900437	choice	9		240					1.0	90.70527965800284	3.7927413219949813
8.0	91.04267172099935	stim	0		15	0.55	1.0	39.0	28.0		94.49802097999782	0.25071128499985207
8.0	91.2933830059992	stim	1		18	0.55	1.0	39.0	28.0		94.74873226499767	0.2992768240001169
8.0	91.59265982999932	stim	2		18	0.55	1.0	39.0	28.0		95.04800908899779	0.3003064229997108
8.0	91.89296625299903	stim	3		30	0.55	1.0	39.0	28.0		95.3483155119975	0.5048778660056996
8.0	92.39784411900473	stim	4		32	0.55	1.0	39.0	28.0		95.8531933780032	0.594728830998065
8.0	92.9925729500028	stim	5		300	0.55	1.0	39.0	28.0		96.44792220900126	4.999724414999946
8.0	97.99229736500274	stim	6		18	0.55	1.0	39.0	28.0		101.44764662400121	0.3008019150001928
8.0	98.29309928000293	stim	7		18	0.55	1.0	39.0	28.0		101.7484485390014	0.3002265909963171
8.0	98.59332587099925	stim	8		35	0.55	1.0	39.0	28.0		102.04867512999772	0.6039498600002844
8.0	99.19727573099954	stim	9		22	0.55	1.0	39.0	28.0		102.652624989998	0.37463929100340465
8.0	99.567952849	response	9	k		0.55	1.0	39.0	28.0		103.02330210799846	
8.0	99.57191502200294	choice	9		240					2.0	103.02726428100141	3.627970927998831
9.0	103.19988595000177	stim	0		15	0.55	1.0	23.0	7.0		106.65523520900024	0.2500824710004963
9.0	103.44996842100227	stim	1		18	0.55	1.0	23.0	7.0		106.90531768000073	0.2998934509960236
9.0	103.74986187199829	stim	2		18	0.55	1.0	23.0	7.0		107.20521113099676	0.3000779570065788
9.0	104.04993982900487	stim	3		30	0.55	1.0	23.0	7.0		107.50528908800334	0.5049733459964045
9.0	104.55491317500127	stim	4		29	0.55	1.0	23.0	7.0		108.01026243399974	0.5955574899999192
9.0	105.1504706650012	stim	5		300	0.55	1.0	23.0	7.0		108.60581992399966	4.999265728001774
9.0	110.14973639300297	stim	6		17	0.55	1.0	23.0	7.0		113.60508565200143	0.3000457539965282
9.0	110.4497821469995	stim	7		18	0.55	1.0	23.0	7.0		113.90513140599796	0.30034656100178836
9.0	110.75012870800128	stim	8		36	0.55	1.0	23.0	7.0		114.20547796699975	0.5998704119992908
9.0	111.34999912000058	stim	9		5	0.55	1.0	23.0	7.0		114.80534837899904	0.09162577099777991
9.0	111.43653383300261	response	9	j		0.55	1.0	23.0	7.0		114.89188309200108	
9.0	111.44162489099836	choice	9		240					1.0	114.89697414999682	3.9010341610046453
10.0	115.342659052003	stim	0		15	0.55	1.0	33.0	14.0		118.79800831100147	0.24950127500051167
10.0	115.59216032700351	stim	1		18	0.55	1.0	33.0	14.0		119.04750958600198	0.2999546229984844
10.0	115.892114950002	stim	2		18	0.55	1.0	33.0	14.0		119.34746420900046	0.30009025600156747
10.0	116.19220520600356	stim	3		30	0.55	1.0	33.0	14.0		119.64755446500203	0.5005151039949851
10.0	116.69272030999855	stim	4		36	0.55	1.0	33.0	14.0		120.14806956899702	0.5993918380045216
10.0	117.29211214800307	stim	5		300	0.55	1.0	33.0	14.0		120.74746140700154	4.99997261200042
10.0	122.29208476000349	stim	6		18	0.55	1.0	33.0	14.0		125.74743401900196	0.2999922669987427
10.0	122.59207702700223	stim	7		18	0.55	1.0	33.0	14.0		126.0474262860007	0.2999356340005761
10.0	122.89201266100281	stim	8		36	0.55	1.0	33.0	14.0		126.34736192000128	0.5998609599992051
10.0	123.49187362100201	stim	9		21	0.55	1.0	33.0	14.0		126.94722288000048	0.35486181199667044
10.0	123.82853454600263	response	9	j		0.55	1.0	33.0	14.0		127.2838838050011	
10.0	123.84673543299868	choice	9		240					1.0	127.30208469199715	3.6461393070057966
1.0	127.49287474000448	stim	0		300						130.94822399900295	4.999272175999067
11.0	132.49214691600355	stim	0		15	1.0	0.55	20.0	56.0		135.94749617500202	0.2500536799998372
11.0	132.74220059600339	stim	1		18	1.0	0.55	20.0	56.0		136.19754985500185	0.29979730999912135
11.0	133.0419979060025	stim	2		18	1.0	0.55	20.0	56.0		136.49734716500097	0.30051977800030727
11.0	133.34251768400281	stim	3		30	1.0	0.55	20.0	56.0		136.79786694300128	0.4991349479969358
11.0	133.84165263199975	stim	4		33	1.0	0.55	20.0	56.0		137.29700189099822	0.5913908790025744
11.0	134.43304351100232	stim	5		301	1.0	0.55	20.0	56.0		137.8883927700008	5.008900911001547
11.0	139.44194442200387	stim	6		18	1.0	0.55	20.0	56.0		142.89729368100234	0.30015885299508227
11.0	139.74210327499895	stim	7		18	1.0	0.55	20.0	56.0		143.19745253399742	0.3129223819996696
11.0	140.05502565699862	stim	8		25	1.0	0.55	20.0	56.0		143.5103749159971	0.6034617500044988
11.0	140.65848740700312	stim	9		4	1.0	0.55	20.0	56.0		144.1138366660016	0.07212219599750824
11.0	140.72691364800266	response	9	k		1.0	0.55	20.0	56.0		144.18226290700113	
11.0	140.73060960300063	choice	9		239					2.0	144.1859588619991	3.9116034129983746
12.0	144.642213015999	stim	0		15	1.0	0.55	14.0	28.0		148.09756227499747	0.2497337700042408
12.0	144.89194678600325	stim	1		18	1.0	0.55	14.0	28.0		148.3472960450017	0.3000847910006996
12.0	145.19203157700395	stim	2		18	1.0	0.55	14.0	28.0		148.6473808360024	0.2995067160009057
12.0	145.49153829300485	stim	3		30	1.0	0.55	14.0	28.0		148.94688755200332	0.49990408899611793
12.0	145.99144238200097	stim	4		36	1.0	0.55	14.0	28.0		149.44679164099944	0.6001956890031579
12.0	146.59163807100413	stim	5		300	1.0	0.55	14.0	28.0		150.0469873300026	4.999917517998256
12.0	151.59155558900238	stim	6		18	1.0	0.55	14.0	28.0		155.04690484800085	0.3000138639981742
12.0	151.89156945300056	stim	7		18	1.0	0.55	14.0	28.0		155.34691871199902	0.30010211400076514
12.0	152.19167156700132	stim	8		31	1.0	0.55	14.0	28.0		155.6470208259998	0.6077147090036306
12.0	152.79938627600495	stim	9		34	1.0	0.55	14.0	28.0		156.25473553500342	0.589462576994265
12.0	153.38429200700193	response	9	k		1.0	0.55	14.0	28.0		156.8396412660004	
12.0	153.38884885299922	choice	9		239					2.0	156.84419811199768	3.4030687710037455
13.0	156.79191762400296	stim	0		15	1.0	0.55	20.0	47.0		160.24726688300143	0.24939251099567628
13.0	157.04131013499864	stim	1		18	1.0	0.55	20.0	47.0		160.4966593939971	0.3002517240020097
13.0	157.34156185900065	stim	2		18	1.0	0.55	20.0	47.0		160.79691111799912	0.300214914001117
13.0	157.64177677300177	stim	3		30	1.0	0.55	20.0	47.0		161.09712603200023	0.49966159400355536
13.0	158.14143836700532	stim	4		36	1.0	0.55	20.0	47.0		161.5967876260038	0.6000244479946559
13.0	158.74146281499998	stim	5		300	1.0	0.55	20.0	47.0		162.19681207399844	4.999961795998388
13.0	163.74142461099837	stim	6		18	1.0	0.55	20.0	47.0		167.19677386999683	0.2998401430013473
13.0	164.0412647539997	stim	7		18	1.0	0.55	20.0	47.0		167.49661401299818	0.3073952190025011
13.0	164.3486599730022	stim	8		28	1.0	0.55	20.0	47.0		167.80400923200068	0.5934198780014412
13.0	164.94207985100365	stim	9		10	1.0	0.55	20.0	47.0		168.39742911000212	0.17213895299937576
13.0	165.11006842200004	response	9	k		1.0	0.55	20.0	47.0		168.5654176809985	
13.0	165.11421880400303	choice	9		240					2.0	168.5695680630015	3.827746269002091
14.0	168.94196507300512	stim	0		15	1.0	0.55	10.0	28.0		172.3973143320036	0.24987666699598776
14.0	169.1918417400011	stim	1		18	1.0	0.55	10.0	28.0		172.64719099899958	0.2999651010031812
14.0	169.4918068410043	stim	2		18	1.0	0.55	10.0	28.0		172.94715610000276	0.2997478159959428
14.0	169.79155465700023	stim	3		30	1.0	0.55	10.0	28.0		173.2469039159987	0.5000294280034723
14.0	170.2915840850037	stim	4		36	1.0	0.55	10.0	28.0		173.74693334400217	0.6003144099959172
14.0	170.89189849499962	stim	5		300	1.0	0.55	10.0	28.0		174.3472477539981	4.999478502999409
14.0	175.89137699799903	stim	6		18	1.0	0.55	10.0	28.0		179.3467262569975	0.30023841600632295
14.0	176.19161541400535	stim	7		18	1.0	0.55	10.0	28.0		179.64696467300382	0.3007682079987717
14.0	176.49238362200413	stim	8		28	1.0	0.55	10.0	28.0		179.9477328810026	0.6093335849946016
14.0	177.10171720699873	stim	9		4	1.0	0.55	10.0	28.0		180.5570664659972	0.06850384100107476
14.0	177.16545114000473	response	9	k		1.0	0.55	10.0	28.0		180.6208003990032	
14.0	177.1702210479998	choice	9		239					2.0	180.62557030699827	3.928826191004191
15.0	181.099047239004	stim	0		15	1.0	0.55	28.0	56.0		184.55439649800246	0.24995005699747708
15.0	181.34899729600147	stim	1		18	1.0	0.55	28.0	56.0		184.80434655499994	0.29968560399720445
15.0	181.64868289999868	stim	2		18	1.0	0.55	28.0	56.0		185.10403215899714	0.3002287730050739
15.0	181.94891167300375	stim	3		30	1.0	0.55	28.0	56.0		185.40426093200222	0.5085614509953302
15.0	182.45747312399908	stim	4		26	1.0	0.55	28.0	56.0		185.91282238299755	0.5947174270040705
15.0	183.05219055100315	stim	5		300	1.0	0.55	28.0	56.0		186.50753981000162	4.996319616999244
15.0	188.0485101680024	stim	6		18	1.0	0.55	28.0	56.0		191.50385942700086	0.29272707799827913
15.0	188.34123724600067	stim	7		18	1.0	0.55	28.0	56.0		191.79658650499914	0.30913355800294084
15.0	188.65037080400361	stim	8		24	1.0	0.55	28.0	56.0		192.10572006300208	0.6073748979979428
15.0	189.25774570200156	stim	9		20	1.0	0.55	28.0	56.0		192.71309496100002	0.3408995080026216
15.0	189.5933536800003	response	9	k		1.0	0.55	28.0	56.0		193.04870293899876	
15.0	189.59864521000418	choice	9		239					2.0	193.05399446900265	3.6424696690010023
16.0	193.24111487900518	stim	0		15	1.0	0.55	7.0	14.0		196.69646413800365	0.25000626999826636
16.0	193.49112114900345	stim	1		18	1.0	0.55	7.0	14.0		196.94647040800191	0.30000478199508507
16.0	193.79112593099853	stim	2		18	1.0	0.55	7.0	14.0		197.246475189997	0.30042005300492747
16.0	194.09154598400346	stim	3		30	1.0	0.55	7.0	14.0		197.54689524300193	0.4991639520012541
16.0	194.5907099360047	stim	4		36	1.0	0.55	7.0	14.0		198.04605919500318	0.6003459019993898
16.0	195.1910558380041	stim	5		300	1.0	0.55	7.0	14.0		198.64640509700257	5.0001813220005715
16.0	200.19123716000468	stim	6		18	1.0	0.55	7.0	14.0		203.64658641900314	0.3001113680002163
16.0	200.4913485280049	stim	7		18	1.0	0.55	7.0	14.0		203.94669778700336	0.29958980399533175
16.0	200.79093833200022	stim	8		36	1.0	0.55	7.0	14.0		204.2462875909987	0.600454555999022
16.0	201.39139288799925	stim	9		100	1.0	0.55	7.0	14.0		204.8467421469977	1.6776913720023003
16.0	203.06295993299864	response	9	k		1.0	0.55	7.0	14.0		206.5183091919971	
16.0	203.06908426000155	choice	9		240					2.0	206.524433519	2.3217918680020375
17.0	205.39087612800358	stim	0		15	1.0	0.55	20.0	80.0		208.84622538700205	0.2498785899952054
17.0	205.6407547179988	stim	1		18	1.0	0.55	20.0	80.0		209.09610397699726	0.300264107005205
17.0	205.941018825004	stim	2		18	1.0	0.55	20.0	80.0		209.39636808400246	0.2998480690002907
17.0	206.24086689400428	stim	3		30	1.0	0.55	20.0	80.0		209.69621615300275	0.49975534699478885
17.0	206.74062224099907	stim	4		35	1.0	0.55	20.0	80.0		210.19597149999754	0.6002896770005464
17.0	207.34091191799962	stim	5		300	1.0	0.55	20.0	80.0		210.7962611769981	5.000175034001586
17.0	212.3410869520012	stim	6		18	1.0	0.55	20.0	80.0		215.79643621099967	0.29986230799840996
17.0	212.64094925999962	stim	7		18	1.0	0.55	20.0	80.0		216.09629851899808	0.3182840310037136
17.0	212.95923329100333	stim	8		15	1.0	0.55	20.0	80.0		216.4145825500018	0.5890723779957625
17.0	213.5483056689991	stim	9		3	1.0	0.55	20.0	80.0		217.00365492799756	0.05766817200492369
17.0	213.60092921899923	response	9	k		1.0	0.55	20.0	80.0		217.0562784779977	
17.0	213.60597384100402	choice	9		240					2.0	217.06132310000248	3.935143470996991
18.0	217.541117312001	stim	0		15	1.0	0.55	10.0	33.0		220.99646657099947	0.2494932699992205
18.0	217.79061058200023	stim	1		18	1.0	0.55	10.0	33.0		221.2459598409987	0.30005322500073817
18.0	218.09066380700096	stim	2		18	1.0	0.55	10.0	33.0		221.54601306599943	0.2999099099979503
18.0	218.39057371699892	stim	3		30	1.0	0.55	10.0	33.0		221.84592297599738	0.5000500170062878
18.0	218.8906237340052	stim	4		36	1.0	0.55	10.0	33.0		222.34597299300367	0.5995612799961236
18.0	219.49018501400133	stim	5		300	1.0	0.55	10.0	33.0		222.9455342729998	5.00026401100331
18.0	224.49044902500464	stim	6		18	1.0	0.55	10.0	33.0		227.9457982840031	0.2999268299972755
18.0	224.7903758550019	stim	7		18	1.0	0.55	10.0	33.0		228.24572511400038	0.30207781700300984
18.0	225.09245367200492	stim	8		36	1.0	0.55	10.0	33.0		228.5478029310034	0.597976271994412
18.0	225.69042994399933	stim	9		26	1.0	0.55	10.0	33.0		229.1457792029978	0.439866560001974
18.0	226.12599235800008	response	9	k		1.0	0.55	10.0	33.0		229.58134161699854	
18.0	226.1302965040013	choice	9		240					2.0	229.58564576299977	3.560428573000536
19.0	229.69072507700184	stim	0		15	1.0	0.55	28.0	33.0		233.1460743360003	0.2500195570028154
19.0	229.94074463400466	stim	1		18	1.0	0.55	28.0	33.0		233.39609389300313	0.3000928209949052
19.0	230.24083745499956	stim	2		18	1.0	0.55	28.0	33.0		233.69618671399803	0.2996199830013211
19.0	230.54045743800089	stim	3		30	1.0	0.55	28.0	33.0		233.99580669699935	0.5019472330022836
19.0	231.04240467100317	stim	4		36	1.0	0.55	28.0	33.0		234.49775393000164	0.5979815390019212
19.0	231.6403862100051	stim	5		300	1.0	0.55	28.0	33.0		235.09573546900356	5.000371860995074
19.0	231.82676060700032	response	5	j		1.0	0.55	28.0	33.0		235.2821098659988	
19.0	236.64075807100016	stim	6		18	1.0	0.55	28.0	33.0		240.09610732999863	0.2997652000049129
19.0	236.94052327100508	stim	7		18	1.0	0.55	28.0	33.0		240.39587253000354	0.30449031599709997
19.0	237.24501358700218	stim	8		32	1.0	0.55	28.0	33.0		240.70036284600064	0.5960459209964029
19.0	237.84105950799858	stim	9		7	1.0	0.55	28.0	33.0		241.29640876699705	0.12382615400565555
19.0	237.95961087500473	response	9	k		1.0	0.55	28.0	33.0		241.4149601340032	
19.0	237.96488566200424	choice	9		240					2.0	241.4202349210027	3.875485409000248
20.0	241.84037107100448	stim	0		15	1.0	0.55	14.0	19.0		245.29572033000295	0.24997481599712046
20.0	242.0903458870016	stim	1		18	1.0	0.55	14.0	19.0		245.54569514600007	0.299795336999523
20.0	242.39014122400113	stim	2		18	1.0	0.55	14.0	19.0		245.8454904829996	0.30037461000029
20.0	242.69051583400142	stim	3		30	1.0	0.55	14.0	19.0		246.14586509299988	0.4995014300002367
20.0	243.19001726400165	stim	4		36	1.0	0.55	14.0	19.0		246.64536652300012	0.600275912998768
20.0	243.79029317700042	stim	5		300	1.0	0.55	14.0	19.0		247.2456424359989	4.999762409999676
20.0	248.7900555870001	stim	6		18	1.0	0.55	14.0	19.0		252.24540484599856	0.3001191990042571
20.0	249.09017478600435	stim	7		18	1.0	0.55	14.0	19.0		252.54552404500282	0.2996967669969308
20.0	249.38987155300129	stim	8		36	1.0	0.55	14.0	19.0		252.84522081199975	0.6000923329993384
20.0	249.98996388600062	stim	9		23	1.0	0.55	14.0	19.0		253.4453131449991	0.39103225400322117
20.0	250.3762825770027	response	9	k		1.0	0.55	14.0	19.0		253.83163183600118	
20.0	250.38099614000384	choice	9		240					2.0	253.8363453990023	3.6094897520015365
2.0	253.99048589200538	stim	0		294						257.44583515100385	4.905105867997918
