run	p1	base number	fraction	repetition	p2	n1	n2	trial
1	0.55	14	2.1990350608152935	2	1.0	30	14	1
1	0.55	20	1.0	1	1.0	20	20	2
1	0.55	10	1.0	1	1.0	10	10	3
1	0.55	28	1.0	2	1.0	28	28	4
1	0.55	20	2.5076726652336894	1	1.0	50	20	5
1	0.55	7	1.9283837423192067	1	1.0	13	7	6
1	0.55	14	1.6910434598811408	1	1.0	23	14	7
1	0.55	28	2.5076726652336894	1	1.0	70	28	8
1	0.55	7	1.3004012687940367	1	1.0	9	7	9
1	0.55	7	2.5076726652336894	2	1.0	17	7	10
1	1.0	28	1.4829143808107377	1	0.55	28	41	11
1	1.0	20	1.1403513795291507	2	0.55	20	22	12
1	1.0	7	1.0	1	0.55	7	7	13
1	1.0	28	2.1990350608152935	1	0.55	28	61	14
1	1.0	10	1.3004012687940367	1	0.55	10	13	15
1	1.0	14	2.5076726652336894	1	0.55	14	35	16
1	1.0	20	1.6910434598811408	2	0.55	20	33	17
1	1.0	10	1.9283837423192067	2	0.55	10	19	18
1	1.0	14	1.1403513795291507	2	0.55	14	15	19
1	1.0	20	1.4829143808107377	2	0.55	20	29	20
2	1.0	28	1.3004012687940367	2	0.55	28	36	21
2	1.0	10	1.3004012687940367	2	0.55	10	13	22
2	1.0	28	2.5076726652336894	2	0.55	28	70	23
2	1.0	14	1.9283837423192067	2	0.55	14	26	24
2	1.0	14	1.3004012687940367	1	0.55	14	18	25
2	1.0	7	1.6910434598811408	2	0.55	7	11	26
2	1.0	28	1.4829143808107377	2	0.55	28	41	27
2	1.0	10	2.5076726652336894	2	0.55	10	25	28
2	1.0	7	2.5076726652336894	2	0.55	7	17	29
2	1.0	20	2.5076726652336894	1	0.55	20	50	30
2	0.55	10	1.6910434598811408	2	1.0	16	10	31
2	0.55	14	1.6910434598811408	2	1.0	23	14	32
2	0.55	10	1.3004012687940367	1	1.0	13	10	33
2	0.55	10	2.5076726652336894	1	1.0	25	10	34
2	0.55	7	1.9283837423192067	2	1.0	13	7	35
2	0.55	7	1.6910434598811408	1	1.0	11	7	36
2	0.55	14	1.0	2	1.0	14	14	37
2	0.55	10	2.1990350608152935	2	1.0	21	10	38
2	0.55	14	1.4829143808107377	2	1.0	20	14	39
2	0.55	10	1.1403513795291507	2	1.0	11	10	40
3	0.55	14	2.5076726652336894	2	1.0	35	14	41
3	0.55	14	1.1403513795291507	2	1.0	15	14	42
3	0.55	14	1.9283837423192067	1	1.0	26	14	43
3	0.55	14	2.1990350608152935	1	1.0	30	14	44
3	0.55	7	2.1990350608152935	2	1.0	15	7	45
3	0.55	20	1.9283837423192067	1	1.0	38	20	46
3	0.55	20	2.1990350608152935	1	1.0	43	20	47
3	0.55	14	1.3004012687940367	2	1.0	18	14	48
3	0.55	28	1.1403513795291507	2	1.0	31	28	49
3	0.55	28	1.3004012687940367	2	1.0	36	28	50
3	1.0	7	1.1403513795291507	1	0.55	7	7	51
3	1.0	14	1.3004012687940367	2	0.55	14	18	52
3	1.0	28	1.3004012687940367	1	0.55	28	36	53
3	1.0	14	1.1403513795291507	1	0.55	14	15	54
3	1.0	14	2.1990350608152935	2	0.55	14	30	55
3	1.0	7	1.6910434598811408	1	0.55	7	11	56
3	1.0	7	1.9283837423192067	1	0.55	7	13	57
3	1.0	10	1.6910434598811408	2	0.55	10	16	58
3	1.0	7	1.1403513795291507	2	0.55	7	7	59
3	1.0	20	1.1403513795291507	1	0.55	20	22	60
4	1.0	14	2.5076726652336894	2	0.55	14	35	61
4	1.0	14	1.4829143808107377	1	0.55	14	20	62
4	1.0	10	2.1990350608152935	2	0.55	10	21	63
4	1.0	14	1.6910434598811408	1	0.55	14	23	64
4	1.0	14	2.1990350608152935	1	0.55	14	30	65
4	1.0	10	1.1403513795291507	1	0.55	10	11	66
4	1.0	28	1.0	2	0.55	28	28	67
4	1.0	28	2.5076726652336894	1	0.55	28	70	68
4	1.0	20	1.3004012687940367	1	0.55	20	26	69
4	1.0	20	2.1990350608152935	2	0.55	20	43	70
4	0.55	28	1.6910434598811408	1	1.0	47	28	71
4	0.55	28	1.3004012687940367	1	1.0	36	28	72
4	0.55	28	1.9283837423192067	1	1.0	53	28	73
4	0.55	10	2.5076726652336894	2	1.0	25	10	74
4	0.55	20	1.9283837423192067	2	1.0	38	20	75
4	0.55	14	1.4829143808107377	1	1.0	20	14	76
4	0.55	20	1.6910434598811408	1	1.0	33	20	77
4	0.55	10	2.1990350608152935	1	1.0	21	10	78
4	0.55	14	2.5076726652336894	1	1.0	35	14	79
4	0.55	7	1.6910434598811408	2	1.0	11	7	80
5	0.55	20	1.4829143808107377	1	1.0	29	20	81
5	0.55	7	1.1403513795291507	1	1.0	7	7	82
5	0.55	28	1.4829143808107377	1	1.0	41	28	83
5	0.55	10	1.1403513795291507	1	1.0	11	10	84
5	0.55	20	1.0	2	1.0	20	20	85
5	0.55	7	1.3004012687940367	2	1.0	9	7	86
5	0.55	10	1.4829143808107377	1	1.0	14	10	87
5	0.55	14	1.1403513795291507	1	1.0	15	14	88
5	0.55	7	1.4829143808107377	2	1.0	10	7	89
5	0.55	14	1.9283837423192067	2	1.0	26	14	90
5	1.0	10	1.6910434598811408	1	0.55	10	16	91
5	1.0	20	2.5076726652336894	2	0.55	20	50	92
5	1.0	7	2.5076726652336894	1	0.55	7	17	93
5	1.0	7	1.9283837423192067	2	0.55	7	13	94
5	1.0	7	1.4829143808107377	1	0.55	7	10	95
5	1.0	28	2.1990350608152935	2	0.55	28	61	96
5	1.0	20	1.6910434598811408	1	0.55	20	33	97
5	1.0	28	1.9283837423192067	2	0.55	28	53	98
5	1.0	28	1.9283837423192067	1	0.55	28	53	99
5	1.0	10	1.0	2	0.55	10	10	100
6	0.55	10	1.3004012687940367	2	1.0	13	10	101
6	0.55	7	2.5076726652336894	1	1.0	17	7	102
6	0.55	20	1.3004012687940367	2	1.0	26	20	103
6	0.55	28	1.9283837423192067	2	1.0	53	28	104
6	0.55	20	1.1403513795291507	2	1.0	22	20	105
6	0.55	7	1.0	1	1.0	7	7	106
6	0.55	10	1.0	2	1.0	10	10	107
6	0.55	7	1.0	2	1.0	7	7	108
6	0.55	20	1.3004012687940367	1	1.0	26	20	109
6	0.55	28	1.6910434598811408	2	1.0	47	28	110
6	1.0	10	1.9283837423192067	1	0.55	10	19	111
6	1.0	28	1.1403513795291507	2	0.55	28	31	112
6	1.0	10	1.4829143808107377	1	0.55	10	14	113
6	1.0	14	1.4829143808107377	2	0.55	14	20	114
6	1.0	20	1.4829143808107377	1	0.55	20	29	115
6	1.0	7	1.4829143808107377	2	0.55	7	10	116
6	1.0	14	1.9283837423192067	1	0.55	14	26	117
6	1.0	28	1.6910434598811408	1	0.55	28	47	118
6	1.0	20	2.1990350608152935	1	0.55	20	43	119
6	1.0	10	1.1403513795291507	2	0.55	10	11	120
7	1.0	28	1.0	1	0.55	28	28	121
7	1.0	7	1.0	2	0.55	7	7	122
7	1.0	10	2.1990350608152935	1	0.55	10	21	123
7	1.0	10	1.0	1	0.55	10	10	124
7	1.0	10	2.5076726652336894	1	0.55	10	25	125
7	1.0	20	1.9283837423192067	1	0.55	20	38	126
7	1.0	20	1.0	1	0.55	20	20	127
7	1.0	14	1.6910434598811408	2	0.55	14	23	128
7	1.0	20	1.9283837423192067	2	0.55	20	38	129
7	1.0	20	1.0	2	0.55	20	20	130
7	0.55	28	2.1990350608152935	2	1.0	61	28	131
7	0.55	10	1.9283837423192067	2	1.0	19	10	132
7	0.55	10	1.9283837423192067	1	1.0	19	10	133
7	0.55	20	2.5076726652336894	2	1.0	50	20	134
7	0.55	10	1.6910434598811408	1	1.0	16	10	135
7	0.55	14	1.0	1	1.0	14	14	136
7	0.55	10	1.4829143808107377	2	1.0	14	10	137
7	0.55	28	2.1990350608152935	1	1.0	61	28	138
7	0.55	7	2.1990350608152935	1	1.0	15	7	139
7	0.55	20	1.6910434598811408	2	1.0	33	20	140
8	0.55	7	1.4829143808107377	1	1.0	10	7	141
8	0.55	28	1.0	1	1.0	28	28	142
8	0.55	20	2.1990350608152935	2	1.0	43	20	143
8	0.55	20	1.4829143808107377	2	1.0	29	20	144
8	0.55	20	1.1403513795291507	1	1.0	22	20	145
8	0.55	28	1.4829143808107377	2	1.0	41	28	146
8	0.55	28	2.5076726652336894	2	1.0	70	28	147
8	0.55	14	1.3004012687940367	1	1.0	18	14	148
8	0.55	7	1.1403513795291507	2	1.0	7	7	149
8	0.55	28	1.1403513795291507	1	1.0	31	28	150
8	1.0	20	1.3004012687940367	2	0.55	20	26	151
8	1.0	7	1.3004012687940367	1	0.55	7	9	152
8	1.0	28	1.1403513795291507	1	0.55	28	31	153
8	1.0	10	1.4829143808107377	2	0.55	10	14	154
8	1.0	7	1.3004012687940367	2	0.55	7	9	155
8	1.0	7	2.1990350608152935	2	0.55	7	15	156
8	1.0	14	1.0	1	0.55	14	14	157
8	1.0	28	1.6910434598811408	2	0.55	28	47	158
8	1.0	14	1.0	2	0.55	14	14	159
8	1.0	7	2.1990350608152935	1	0.55	7	15	160
