value,gain,loss,gain,loss
order,first,first,second,second
0,44,107,12,8
1,32,18,80,36
2,7,107,7,10
3,18,13,97,7
4,10,59,21,20
5,107,107,66,59
6,10,10,107,9
7,7,24,88,20
8,10,44,31,58
9,7,107,32,40
10,7,44,94,7
11,18,13,10,43
12,80,18,63,13
13,13,32,49,9
14,24,32,16,13
15,107,32,42,15
16,24,13,40,13
17,13,24,107,32
18,13,7,55,17
19,10,13,10,34
20,13,24,107,9
21,107,18,59,26
22,18,24,107,50
23,10,59,59,13
24,44,80,97,14
25,107,24,101,7
26,44,7,30,30
27,7,59,49,11
28,32,18,30,29
29,44,13,88,13
30,44,10,107,12
31,80,44,37,23
32,10,44,59,58
33,44,44,60,10
34,107,10,49,7
35,80,7,59,7
36,7,80,72,7
37,80,18,107,16
38,13,59,107,58
39,13,32,44,12
40,10,44,23,7
41,13,32,101,77
42,107,80,11,16
43,24,18,73,56
44,44,13,92,10
45,59,107,54,15
46,44,13,37,13
47,44,7,33,24
48,24,107,66,42
49,32,32,31,16
50,13,32,107,30
51,18,80,7,10
52,7,107,12,23
53,13,32,27,7
54,44,18,50,24
55,13,80,80,8
56,59,24,73,8
57,18,10,107,47
58,107,59,73,26
59,80,7,89,7
60,32,13,101,24
61,44,59,80,24
62,59,44,107,38
63,13,44,21,7
64,80,44,18,22
65,80,10,83,31
66,7,107,13,12
67,32,44,10,50
68,24,80,73,13
69,44,32,54,11
70,7,44,72,7
71,32,7,55,19
72,24,107,72,18
73,24,107,107,8
74,13,44,72,11
75,107,32,94,24
76,80,13,12,59
77,18,44,92,12
78,80,80,44,10
79,80,32,55,26
80,59,10,63,7
81,107,24,23,58
82,10,32,10,10
83,13,13,98,16
84,13,107,11,80
85,59,10,97,8
86,80,18,77,15
87,44,59,101,8
88,32,32,17,13
89,13,24,28,13
90,10,24,107,7
91,59,32,88,30
92,13,32,10,24
93,44,44,73,8
94,59,7,11,9
95,18,59,73,22
96,18,10,44,77
97,32,44,107,49
98,32,80,64,15
99,59,10,7,9
100,10,18,107,38
101,59,13,94,7
102,13,18,107,32
103,13,32,36,18
104,24,59,89,47
105,32,24,107,38
106,44,107,88,20
107,13,32,17,68
108,10,10,59,31
109,18,107,107,10
110,24,32,24,22
111,107,44,94,18
112,18,59,107,7
113,107,18,73,9
114,32,44,107,9
115,32,44,49,16
116,10,44,24,10
117,10,18,63,13
118,10,80,64,10
119,80,13,10,18
120,18,59,88,8
121,13,80,89,7
122,59,10,28,24
123,10,59,10,8
124,80,13,107,13
125,59,7,94,24
126,80,10,107,32
127,10,32,89,7
128,44,80,59,7
129,13,32,10,36
130,107,10,80,18
131,32,44,45,38
132,10,44,107,13
133,32,13,33,15
134,44,107,80,9
135,107,80,66,9
136,80,59,104,8
137,59,80,107,9
138,24,32,101,8
139,32,18,107,7
140,59,10,97,13
141,80,32,10,13
142,10,59,101,7
143,107,18,107,10
144,107,13,59,9
145,13,80,18,11
146,59,24,89,26
147,80,59,10,24
148,24,80,37,7
149,10,59,82,34
150,10,107,55,7
151,32,7,86,7
152,24,7,72,49
153,24,18,36,7
154,59,107,14,24
155,24,80,49,22
156,44,18,66,10
157,80,80,34,21
158,107,59,23,66
159,44,44,66,22
160,13,80,101,8
161,80,59,107,15
162,7,107,86,29
163,59,107,80,18
164,13,7,55,12
165,24,7,63,13
166,7,18,15,47
167,107,32,20,15
168,18,10,45,7
169,13,18,37,7
170,10,24,59,38
171,10,107,21,10
172,7,24,15,9
173,107,7,30,18
174,107,44,94,18
175,10,24,32,12
176,32,80,101,9
177,10,44,7,18
178,80,107,66,38
179,10,13,80,10
180,7,7,94,7
181,10,59,73,43
182,80,32,14,35
183,13,32,72,21
184,32,18,83,26
185,59,18,48,50
186,7,32,26,18
187,10,32,27,7
188,18,44,49,7
189,18,24,80,38
190,44,80,107,7
191,24,107,7,77
192,80,24,80,8
193,7,59,13,7
194,7,18,16,21
195,10,7,107,24
196,32,107,49,10
197,18,107,10,11
198,24,18,42,7
199,7,44,45,7
200,7,18,66,10
201,44,80,107,7
202,59,18,107,18
203,7,24,18,31
204,13,59,42,10
205,7,10,107,10
206,107,24,33,8
207,107,59,88,14
208,13,10,89,16
209,13,44,28,9
210,7,59,40,21
211,10,24,66,8
212,59,10,104,18
213,7,7,28,32
214,107,13,82,9
215,59,24,107,38
216,44,59,77,10
217,18,44,16,7
218,7,24,83,7
219,10,7,37,7
220,13,32,27,91
221,80,13,59,13
222,107,18,107,7
223,18,13,28,38
224,32,7,27,35
225,59,24,44,31
226,18,13,107,27
227,80,80,88,9
228,107,107,24,7
229,10,10,27,56
230,80,13,86,9
231,10,7,7,16
232,32,32,80,15
233,59,107,60,56
234,24,13,13,29
235,32,59,23,9
236,44,80,107,8
237,32,32,107,9
238,107,13,18,30
239,44,59,31,10
240,80,44,107,91
241,7,44,107,10
242,107,18,72,77
243,107,24,98,7
244,59,32,28,34
245,44,7,9,32
246,7,18,24,11
247,80,59,107,38
248,107,32,27,13
249,107,59,9,7
250,80,80,13,7
251,44,7,49,10
252,18,80,66,8
253,18,10,73,7
254,44,107,30,9
255,24,44,9,16
256,44,59,107,80
257,24,13,83,59
258,10,59,49,10
259,18,10,107,80
260,59,7,107,26
261,13,24,66,7
262,24,32,21,47
263,10,107,61,13
264,24,32,24,7
265,7,10,13,12
266,59,7,107,32
267,80,13,36,66
268,80,13,45,10
269,7,44,72,11
270,107,80,107,9
271,13,18,107,24
272,80,7,82,13
273,18,32,77,91
274,32,59,36,8
275,13,44,61,29
276,18,24,30,29
277,32,10,49,23
278,59,59,80,10
279,18,7,13,8
280,32,13,41,18
281,107,80,98,58
282,44,107,7,29
283,44,18,80,36
284,32,44,44,11
285,107,107,14,7
286,18,24,18,7
287,13,13,19,16
288,7,13,10,9
289,107,13,10,43
290,13,107,107,36
291,13,18,107,19
292,24,24,107,58
293,32,32,36,49
294,59,7,66,7
295,10,18,32,42
296,24,7,9,7
297,32,10,13,7
298,13,7,107,21
299,7,7,107,68
300,80,24,45,19
301,24,13,24,11
302,18,13,82,10
303,10,7,41,15
304,10,80,41,13
305,13,18,37,15
306,107,80,59,31
307,24,7,37,23
308,80,32,26,8
309,18,44,107,21
310,107,80,86,9
311,59,10,83,16
312,32,13,101,58
313,32,7,107,13
314,44,7,101,9
315,59,44,48,66
316,18,32,13,10
317,59,24,107,10
318,13,32,107,16
319,44,59,107,26
320,10,24,107,15
321,18,13,95,8
322,44,107,20,36
323,7,10,101,7
324,80,10,10,8
325,59,18,83,18
326,7,44,107,9
327,10,44,64,26
328,80,13,107,7
329,10,18,59,32
330,13,24,23,59
331,80,59,80,32
332,10,44,55,11
333,24,13,59,56
334,13,32,92,13
335,13,13,23,7
336,107,32,23,7
337,7,10,83,24
338,80,44,107,7
339,10,59,15,107
340,80,13,107,59
341,18,24,10,20
342,18,80,10,38
343,18,44,32,68
344,80,32,19,107
345,24,18,13,7
346,59,44,24,66
347,7,10,107,11
348,7,7,82,11
349,59,44,86,49
350,10,7,73,49
351,18,18,66,12
352,59,18,107,14
353,80,107,10,24
354,18,32,77,22
355,18,7,23,10
356,13,44,101,7
357,107,107,20,10
358,80,80,33,26
359,13,59,36,12
360,13,107,73,18
361,18,13,41,66
362,18,18,80,7
363,18,18,7,21
364,59,59,32,9
365,32,18,36,80
366,59,80,9,10
367,59,107,54,32
368,32,80,18,19
369,18,13,13,13
370,107,32,48,9
371,7,18,11,24
372,10,44,7,26
373,24,24,94,38
374,107,44,59,12
375,7,80,80,12
376,13,107,107,9
377,32,107,14,9
378,10,107,98,9
379,18,59,50,26
380,80,24,107,10
381,107,32,80,13
382,10,80,104,66
383,59,32,83,32
384,10,18,16,10
385,13,13,45,32
386,107,107,18,7
387,18,107,66,11
388,32,7,23,13
389,24,59,9,40
390,107,44,13,9
391,107,44,15,18
392,18,80,24,32
393,80,107,107,49
394,80,18,95,7
395,24,18,61,24
396,32,44,37,24
397,24,32,37,18
398,18,24,107,12
399,10,13,26,10
400,7,80,104,7
401,18,13,20,8
402,80,10,48,19
403,59,18,10,9
404,32,18,59,68
405,24,107,64,7
406,10,59,88,18
407,18,7,37,18
408,80,32,82,15
409,59,10,73,13
410,24,59,60,43
411,18,80,15,7
412,107,80,101,13
413,10,18,107,68
414,13,32,7,47
415,10,80,10,66
416,80,18,26,66
417,18,32,28,10
418,10,32,44,12
419,44,10,45,7
420,59,18,55,7
421,13,44,18,7
422,18,10,61,13
423,59,18,23,18
424,59,80,72,7
425,7,44,23,15
426,107,13,55,13
427,24,107,92,18
428,32,59,83,18
429,10,18,18,9
430,10,59,45,7
431,18,24,88,9
432,24,24,94,66
433,32,10,33,26
434,107,7,107,13
435,7,80,49,7
436,24,13,10,38
437,13,59,82,22
438,10,107,77,10
439,32,59,40,42
440,10,32,32,9
441,10,24,13,7
442,10,24,72,10
443,13,32,28,9
444,13,24,50,14
445,10,18,42,15
446,59,32,44,91
447,107,24,28,22
448,44,32,73,10
449,32,10,28,13
450,107,44,34,13
451,10,59,72,20
452,10,44,23,10
453,44,80,31,66
454,24,10,17,11
455,10,80,55,80
456,80,59,107,59
457,107,44,48,10
458,32,10,23,7
459,32,80,50,40
460,13,107,88,91
461,80,13,18,18
462,24,24,107,7
463,80,80,92,13
464,7,18,107,43
465,7,80,98,13
466,107,107,50,7
467,13,80,10,21
468,80,10,61,9
469,32,32,45,91
470,44,32,45,10
471,107,18,73,22
472,24,80,26,8
473,7,7,18,49
474,10,7,31,12
475,32,24,107,9
476,107,13,44,10
477,107,24,59,27
478,59,32,26,66
479,80,13,107,29
480,59,80,95,18
481,107,10,94,8
482,32,10,7,22
483,59,10,15,27
484,80,18,37,21
485,10,80,107,11
486,10,44,107,12
487,24,10,33,7
488,13,59,37,22
489,10,18,34,27
490,13,13,20,10
491,10,44,101,7
492,59,13,26,23
493,13,10,33,7
494,24,59,107,9
495,18,10,44,47
496,80,10,59,7
497,59,107,41,20
498,107,59,80,10
499,24,13,14,16
500,13,32,107,24
501,32,7,107,9
502,13,32,33,26
503,18,80,50,13
504,32,13,86,7
505,32,24,92,7
506,59,7,107,43
507,59,59,107,10
508,44,18,27,12
509,10,59,44,7
510,80,10,7,11
511,59,32,80,9
512,44,59,18,24
513,80,59,107,7
514,10,59,34,50
515,13,7,60,13
516,107,107,32,7
517,44,18,104,47
518,59,7,24,26
519,32,7,30,15
520,107,80,41,15
521,13,59,59,68
522,107,32,37,9
523,44,7,24,7
524,59,107,107,7
525,80,24,107,30
526,107,32,10,10
527,13,18,83,38
528,18,7,49,58
529,107,32,20,9
530,59,18,13,13
531,10,59,92,13
532,24,107,80,9
533,59,10,107,7
534,44,80,63,8
535,13,13,34,15
536,44,107,107,8
537,13,80,55,77
538,32,59,60,18
539,107,32,83,12
540,7,44,98,8
541,80,80,101,7
542,32,80,23,8
543,80,44,77,7
544,7,80,72,7
545,24,18,68,47
546,80,59,14,107
547,13,32,80,32
548,107,59,32,9
549,7,80,59,27
550,24,44,13,8
551,7,80,82,9
552,107,10,45,31
553,80,44,80,16
554,44,44,61,59
555,32,18,94,7
556,80,13,80,10
557,7,80,107,19
558,10,7,40,18
559,44,80,59,44
560,7,18,49,9
561,107,59,66,50
562,107,80,15,42
563,18,32,89,27
564,10,32,42,17
565,10,44,24,7
566,13,10,13,7
567,32,24,98,77
568,10,18,107,11
569,44,59,41,24
570,44,10,80,47
571,59,107,24,29
572,13,13,72,7
573,13,18,27,9
574,24,7,107,7
575,18,18,107,13
576,24,107,107,7
577,44,44,89,10
578,32,59,10,26
579,10,18,107,7
580,44,32,40,7
581,13,59,107,50
582,24,59,83,13
583,80,18,23,7
584,80,32,107,22
585,44,32,107,77
586,32,32,10,59
587,7,18,107,20
588,32,32,13,42
589,7,59,23,9
590,107,32,107,32
591,44,32,28,31
592,107,10,23,107
593,10,18,26,13
594,7,80,10,14
595,24,59,55,19
596,13,24,18,16
597,80,18,64,47
598,32,59,64,49
599,80,13,40,13
600,10,59,34,18
601,107,107,23,32
602,107,32,37,13
603,24,59,83,13
604,13,107,107,91
605,44,32,107,7
606,44,18,55,8
607,59,107,41,13
608,44,13,26,15
609,44,24,37,23
610,24,32,26,49
611,80,24,18,36
612,44,24,63,10
613,18,10,88,10
614,32,59,54,13
615,32,10,107,9
616,7,7,23,7
617,59,7,104,7
618,32,13,66,21
619,32,107,107,23
620,59,59,104,10
621,44,107,88,7
622,59,80,24,18
623,7,10,107,13
624,24,44,80,35
625,32,59,83,59
626,10,59,23,44
627,24,59,27,12
628,32,80,59,29
629,107,59,28,16
630,32,107,101,13
631,44,18,107,24
632,80,80,72,19
633,13,107,66,10
634,107,13,41,23
635,59,44,89,12
636,59,107,34,9
637,7,32,86,13
638,13,59,17,24
639,107,7,23,59
640,80,59,59,18
641,32,59,24,31
642,32,44,30,18
643,59,24,72,12
644,59,80,13,21
645,107,32,89,14
646,80,24,28,58
647,24,13,44,23
648,13,18,60,7
649,44,32,107,30
650,7,32,12,26
651,7,59,50,47
652,7,7,28,80
653,80,18,21,13
654,24,44,28,20
655,13,59,101,38
656,59,80,107,15
657,32,18,107,31
658,24,10,60,38
659,80,18,104,10
660,13,18,107,19
661,44,59,12,29
662,80,107,68,7
663,107,13,13,9
664,80,80,68,11
665,107,24,64,34
666,44,59,86,27
667,59,18,28,10
668,107,13,28,11
669,44,18,64,66
670,7,24,60,18
671,107,107,32,7
672,13,32,31,42
673,13,44,18,47
674,24,10,30,8
675,32,59,107,34
676,10,13,26,80
677,107,13,88,9
678,32,80,13,13
679,10,18,107,24
680,80,44,15,9
681,24,7,27,36
682,10,24,64,80
683,7,107,12,9
684,32,10,7,27
685,13,24,23,10
686,7,44,20,23
687,107,59,24,7
688,7,32,23,18
689,13,44,23,24
690,80,24,83,24
691,80,80,44,18
692,24,59,107,9
693,32,24,92,7
694,13,44,33,21
695,13,80,42,16
696,32,59,20,16
697,7,7,59,7
698,13,44,44,24
699,18,18,64,8
700,80,80,50,13
701,80,7,107,10
702,10,13,10,12
703,59,44,13,14
704,80,10,107,13
705,13,32,98,36
706,107,80,37,9
707,13,44,12,12
708,13,59,107,21
709,10,24,107,16
710,44,7,21,7
711,13,10,80,11
712,44,13,17,43
713,44,10,24,11
714,59,107,55,18
715,24,24,107,10
716,80,32,18,12
717,18,32,107,8
718,13,24,17,7
719,44,7,23,15
720,44,80,44,91
721,13,107,107,24
722,32,7,18,9
723,18,7,13,23
724,24,107,63,9
725,10,44,26,31
726,18,80,107,13
727,107,10,9,7
728,59,24,89,10
729,44,7,107,10
730,18,24,72,9
731,13,32,59,7
732,7,7,20,7
733,59,18,94,9
734,107,44,19,7
735,32,13,45,14
736,59,24,27,22
737,10,59,10,18
738,7,59,97,10
739,59,80,32,22
740,32,107,88,16
741,44,7,55,9
742,107,44,107,10
743,59,80,23,7
744,13,107,21,8
745,7,10,32,15
746,80,107,92,9
747,44,80,23,29
748,13,59,60,47
749,24,7,80,9
750,59,32,60,8
751,24,18,64,7
752,10,10,88,35
753,107,18,107,9
754,24,80,107,24
755,24,13,28,107
756,32,10,83,12
757,107,7,94,9
758,24,44,32,10
759,18,7,20,40
760,13,107,101,10
761,59,7,107,14
762,13,10,88,9
763,44,24,64,38
764,18,44,107,13
765,44,10,55,19
766,13,107,45,24
767,44,13,24,10
768,24,10,98,44
769,18,32,37,13
770,80,59,31,26
771,107,32,66,18
772,107,7,15,27
773,18,59,107,7
774,80,13,92,7
775,44,59,97,13
776,32,32,28,13
777,18,59,23,36
778,44,7,107,20
779,44,32,10,8
780,80,10,20,7
781,10,44,9,7
782,32,24,60,29
783,18,10,20,91
784,18,24,31,7
785,44,59,13,18
786,44,107,24,7
787,18,80,61,8
788,10,32,94,7
789,44,10,107,7
790,13,44,107,8
791,107,13,55,7
792,7,18,31,32
793,7,32,7,13
794,18,32,13,18
795,32,44,7,13
796,32,7,48,20
797,80,10,59,7
798,24,13,18,11
799,32,44,45,10
800,107,18,37,24
801,32,13,54,21
802,24,32,73,12
803,59,59,107,7
804,32,24,107,10
805,10,18,28,29
806,10,18,89,8
807,10,10,10,27
808,10,10,36,13
809,7,10,104,13
810,10,24,12,35
811,18,13,107,12
812,32,107,88,7
813,59,80,64,16
814,13,13,66,18
815,44,32,55,91
816,7,13,18,40
817,44,32,107,80
818,107,18,49,43
819,80,107,64,13
820,44,32,55,43
821,10,59,26,16
822,32,59,72,7
823,32,7,59,7
824,13,18,89,22
825,7,24,18,12
826,18,32,83,22
827,107,24,94,10
828,80,59,107,7
829,13,107,101,32
830,7,13,107,12
831,10,18,18,36
832,13,18,34,8
833,7,44,77,9
834,18,44,73,24
835,59,7,10,13
836,10,80,107,12
837,18,7,80,7
838,80,44,89,49
839,32,32,54,13
840,80,44,107,47
841,59,44,40,15
842,7,80,107,18
843,13,107,66,9
844,10,10,101,15
845,80,13,10,11
846,13,44,101,42
847,32,18,95,18
848,107,32,66,18
849,59,32,45,36
850,7,18,107,16
851,80,7,107,44
852,80,10,48,35
853,7,59,54,16
854,32,44,18,24
855,24,13,32,22
856,80,13,107,10
857,80,32,80,13
858,80,80,107,9
859,18,24,107,15
860,18,80,66,12
861,24,59,14,38
862,13,13,19,22
863,18,107,24,19
864,44,44,13,8
865,59,18,92,47
866,107,13,49,7
867,80,59,37,9
868,13,7,17,7
869,32,32,49,32
870,24,32,12,40
871,107,32,107,7
872,7,13,73,7
873,18,24,10,22
874,32,32,89,26
875,32,59,9,7
876,7,59,89,8
877,13,32,77,59
878,32,24,107,7
879,32,10,80,11
880,24,107,80,7
881,18,10,107,18
882,18,32,37,24
883,24,10,72,15
884,7,107,64,7
885,24,10,32,58
886,18,80,66,9
887,13,7,107,12
888,24,10,37,44
889,13,80,42,7
890,13,80,13,59
891,13,59,24,12
892,59,107,13,7
893,32,7,13,8
894,18,32,40,42
895,107,59,89,7
896,59,18,97,44
897,7,10,44,36
898,7,24,10,58
899,7,24,37,16
900,10,59,13,50
901,13,107,23,80
902,32,107,13,22
903,24,24,61,40
904,13,59,9,13
905,13,44,33,11
906,32,10,86,10
907,80,7,80,8
908,24,59,24,7
909,10,59,50,16
910,80,13,54,35
911,24,24,9,10
912,7,18,77,47
913,13,80,66,15
914,80,32,60,23
915,44,80,41,9
916,24,7,23,36
917,44,59,32,43
918,13,32,107,13
919,13,10,59,11
920,44,107,88,12
921,80,44,40,31
922,44,44,86,16
923,10,107,64,9
924,44,7,77,19
925,44,10,107,9
926,44,7,15,32
927,80,10,17,32
928,59,18,50,10
929,13,7,37,56
930,80,10,42,20
931,32,107,97,30
932,107,44,80,7
933,10,18,107,19
934,59,13,59,13
935,13,24,107,68
936,32,80,54,58
937,44,13,26,40
938,18,44,10,77
939,44,107,12,35
940,24,32,30,7
941,18,13,9,10
942,59,44,49,8
943,44,7,44,13
944,7,10,80,9
945,59,18,73,24
946,24,13,49,13
947,13,10,19,7
948,24,59,28,18
949,59,44,33,7
950,32,24,73,15
951,24,24,12,26
952,24,13,80,10
953,32,18,28,24
954,32,7,37,9
955,59,24,11,7
956,44,13,107,10
957,18,44,26,44
958,32,80,107,49
959,44,13,13,9
960,80,13,24,9
961,32,10,59,68
962,107,13,7,59
963,107,24,41,11
964,18,10,7,7
965,13,7,72,7
966,32,32,80,8
967,18,18,107,8
968,13,80,89,7
969,13,7,86,12
970,107,59,15,8
971,80,32,86,23
972,24,59,107,32
973,80,59,107,77
974,10,10,41,20
975,24,107,33,35
976,13,80,14,18
977,107,10,88,7
978,7,44,19,91
979,59,7,73,35
980,59,59,72,18
981,10,32,107,15
982,80,10,32,80
983,44,7,12,7
984,24,44,101,26
985,44,107,68,9
986,18,44,73,7
987,10,107,32,24
988,44,10,82,16
989,59,32,40,22
990,32,13,28,91
991,7,44,88,9
992,32,18,101,14
993,44,18,55,13
994,59,10,89,7
995,13,13,107,13
996,18,80,10,9
997,13,10,107,36
998,80,24,82,10
999,32,80,7,26